Submission Date (Central Time),Submission Time (Central Time),ucnValue,mouseFlowPlaybackUrl,audience,Interaction ID,email_address,Overall Rating,Contact Name,Delivery Destination,Survey Source,TrackingID,Order #,Comments,FeedbackCategory,Subcategory
03/07/2023,11:44:58 PM,821587958,https://app.mouseflow.com/websites/66919380-3056-47f5-93f2-7f059f47d78b/recordings/76d3b578b4a1a40211a1f6c9ce6b9f7d/play,Consumers,null,,4,Yes,Yes,No,9,,No Comments,No Comments,No Comments
03/07/2023,11:35:55 PM,644340124,https://app.mouseflow.com/websites/66919380-3056-47f5-93f2-7f059f47d78b/recordings/null/play,Consumers,null,,5,Yes,Yes,No,10,,No Comments,No Comments,No Comments
03/07/2023,11:24:08 PM,822003407,https://app.mouseflow.com/websites/66919380-3056-47f5-93f2-7f059f47d78b/recordings/null/play,Consumers,null,,5,Yes,Yes,No,10,,No Comments,No Comments,No Comments
03/07/2023,11:18:38 PM,641322429,https://app.mouseflow.com/websites/66919380-3056-47f5-93f2-7f059f47d78b/recordings/b0be9a3fb5540b969b3090223a4a45f6/play,Consumers,null,,5,(no response),(no response),(no response),(no response),,No Comments,No Comments,No Comments
03/07/2023,11:05:39 PM,832050684,https://app.mouseflow.com/websites/66919380-3056-47f5-93f2-7f059f47d78b/recordings/null/play,Consumers,null,,3,(no response),(no response),(no response),(no response),,No Comments,No Comments,No Comments
03/07/2023,11:01:15 PM,null,https://app.mouseflow.com/websites/66919380-3056-47f5-93f2-7f059f47d78b/recordings/null/play,null,null,,4,,No,No,8,,No Comments,No Comments,No Comments
03/07/2023,10:50:25 PM,643030709,https://app.mouseflow.com/websites/66919380-3056-47f5-93f2-7f059f47d78b/recordings/null/play,TeacherEducators,2940719806,,4,Yes,Yes,No,,,No Comments,No Comments,No Comments
03/07/2023,10:45:29 PM,844407200,https://app.mouseflow.com/websites/66919380-3056-47f5-93f2-7f059f47d78b/recordings/null/play,Consumers,null,,5,Yes,Yes,No,10,,No Comments,No Comments,No Comments
03/07/2023,10:41:00 PM,634359477,https://app.mouseflow.com/websites/66919380-3056-47f5-93f2-7f059f47d78b/recordings/null/play,Consumers,null,,3,Yes,Yes,No,8,,No Comments,No Comments,No Comments
03/07/2023,10:32:22 PM,643608344,https://app.mouseflow.com/websites/66919380-3056-47f5-93f2-7f059f47d78b/recordings/null/play,TeacherEducators,2447873627,,5,Yes,(no response),No,,,No Comments,No Comments,No Comments
03/07/2023,10:30:25 PM,628995966,https://app.mouseflow.com/websites/66919380-3056-47f5-93f2-7f059f47d78b/recordings/null/play,Consumers,null,,5,Yes,Yes,No,10,,No Comments,No Comments,No Comments
